income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$75,000 or more;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Four;None;Own;House;Hispanic;English
$40,000 to $49,999;Female;Married;55 thru 64;1 to 3 years of college;Homemaker;One to three years;Not Married;Two;None;Own;Other;White;Other
$50,000 to $74,999;Female;Married;55 thru 64;Graduated high school;Sales Worker;More than ten years;Yes;Two;None;Own;House;White;English
$15,000 to $19,999;Male;Married;65 and Over;Graduated high school;Retired;More than ten years;No;Two;None;Own;Mobile Home;White;English
$40,000 to $49,999;Female;Married;55 thru 64;1 to 3 years of college;Retired;More than ten years;No;Two;None;Own;Condominium;White;English
$25,000 to $29,999;Female;Married;65 and Over;1 to 3 years of college;Retired;NA;No;Two;None;Own;House;White;English
Less than $10,000;Female;Divorced or separated;65 and Over;Graduated high school;Retired;More than ten years;Not Married;Two;None;Own;House;White;English
$75,000 or more;Female;Married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;White;English
$20,000 to $24,999;Female;NA;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;NA;None;Rent;NA;White;NA
$50,000 to $74,999;Female;Married;45 thru 54;Grad Study;Professional/Managerial;One to three years;Yes;Three;None;Own;House;East Indian;Other
$40,000 to $49,999;Female;Married;35 thru 44;Graduated high school;Homemaker;More than ten years;No;Two;None;Own;House;Other;Spanish
$25,000 to $29,999;Female;Single, never married;14 thru 17;Graduated high school;Unemployed;Seven to ten years;Not Married;Three;One;Live with Parents/Family;House;White;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;Graduated high school;Student, HS or College;More than ten years;Not Married;Two;None;Live with Parents/Family;House;White;English
$50,000 to $74,999;Male;Single, never married;14 thru 17;Grades 9 to 11;Sales Worker;More than ten years;Not Married;Three;One;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;White;English
$40,000 to $49,999;Female;Single, never married;14 thru 17;Grade 8 or less;Professional/Managerial;One to three years;Not Married;Seven;Five;Rent;Condominium;Other;NA
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Professional/Managerial;More than ten years;Not Married;Two;None;Live with Parents/Family;Apartment;White;English
$40,000 to $49,999;Female;Married;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Six;None;Own;House;American Indian;English
$30,000 to $39,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;More than ten years;No;Four;None;Own;House;White;English
$50,000 to $74,999;Male;Married;25 thru 34;Grad Study;Sales Worker;One to three years;Yes;Two;None;Rent;Apartment;NA;English
$75,000 or more;Male;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;One;Live with Parents/Family;House;White;English
$20,000 to $24,999;Female;Living together, not married;25 thru 34;Graduated high school;Clerical/Service Worker;One to three years;Not Married;Three;One;Rent;Apartment;American Indian;English
$25,000 to $29,999;Female;NA;65 and Over;Graduated high school;Retired;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;No;Two;None;Own;House;White;English
$10,000 to $14,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Clerical/Service Worker;NA;Not Married;Three;One;Rent;Condominium;White;English
$15,000 to $19,999;Female;Married;18 thru 24;College graduate;Sales Worker;One to three years;Yes;Two;None;Rent;House;White;English
$30,000 to $39,999;Male;Single, never married;45 thru 54;Grad Study;Professional/Managerial;Less than one year;Not Married;One;None;Rent;Condominium;White;English
$40,000 to $49,999;Female;Widowed;65 and Over;Graduated high school;Retired;One to three years;Not Married;Two;None;NA;Condominium;White;English
$40,000 to $49,999;Female;Divorced or separated;65 and Over;College graduate;Retired;NA;Not Married;NA;None;Rent;Condominium;White;NA
$40,000 to $49,999;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;NA;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;House;White;NA
$75,000 or more;Female;Married;25 thru 34;College graduate;Homemaker;Four to six years;No;Three;One;Own;House;White;English
$50,000 to $74,999;Female;Living together, not married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;White;NA
$50,000 to $74,999;Female;Living together, not married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;NA;Not Married;Five;One;Live with Parents/Family;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;College graduate;Clerical/Service Worker;Four to six years;Yes;Four;Two;Own;House;White;English
$40,000 to $49,999;Female;NA;35 thru 44;Graduated high school;NA;NA;No;Four;Two;Own;House;White;NA
$30,000 to $39,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Homemaker;More than ten years;Not Married;Four;Three;Rent;Condominium;White;English
$50,000 to $74,999;Male;Married;55 thru 64;1 to 3 years of college;Retired;More than ten years;No;NA;None;NA;NA;NA;NA
$20,000 to $24,999;Female;Married;45 thru 54;Grad Study;Clerical/Service Worker;More than ten years;No;Three;None;Own;House;White;English
$75,000 or more;Female;Married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Unemployed;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Hispanic;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;Seven to ten years;Yes;Five;One;Own;House;White;English
$50,000 to $74,999;Female;Married;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;NA;Not Married;Eight;Six;Live with Parents/Family;NA;White;English
$75,000 or more;Female;Married;45 thru 54;Grad Study;Homemaker;One to three years;No;Three;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Four to six years;Not Married;Five;Three;Live with Parents/Family;Apartment;Asian;Other
$40,000 to $49,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;Seven to ten years;Yes;Six;Two;Rent;House;White;English
$75,000 or more;Male;Married;35 thru 44;Grad Study;Professional/Managerial;Four to six years;Yes;Five;Three;Own;House;White;English
$40,000 to $49,999;Male;Married;65 and Over;Graduated high school;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;English
$40,000 to $49,999;Male;Married;65 and Over;Grad Study;Professional/Managerial;More than ten years;No;Three;None;Own;House;White;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Professional/Managerial;NA;Not Married;Seven;None;Rent;Condominium;White;English
$40,000 to $49,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Professional/Managerial;Seven to ten years;Not Married;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;25 thru 34;Grad Study;Student, HS or College;More than ten years;Not Married;Seven;One;Live with Parents/Family;House;White;English
$40,000 to $49,999;Male;Married;65 and Over;Graduated high school;Retired;More than ten years;No;Three;None;Own;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Unemployed;One to three years;Not Married;NA;None;Rent;Apartment;Black;English
$25,000 to $29,999;Male;Married;65 and Over;Graduated high school;Retired;More than ten years;No;Two;None;Own;House;White;English
$75,000 or more;Female;Married;35 thru 44;Grad Study;Professional/Managerial;Four to six years;Yes;Four;Two;Own;House;White;English
$10,000 to $14,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Clerical/Service Worker;Four to six years;Not Married;Two;One;Live with Parents/Family;NA;White;English
$10,000 to $14,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;Three;Two;Live with Parents/Family;Apartment;Hispanic;English
$50,000 to $74,999;Male;Married;55 thru 64;1 to 3 years of college;Retired;More than ten years;No;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;More than ten years;No;Four;None;Own;House;White;English
$75,000 or more;Female;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$75,000 or more;Female;Married;25 thru 34;College graduate;Professional/Managerial;Four to six years;Yes;Two;None;Own;Other;White;English
$75,000 or more;Female;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$75,000 or more;Male;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;Hispanic;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Four to six years;Not Married;Six;Three;Live with Parents/Family;Other;White;English
$10,000 to $14,999;Female;Married;18 thru 24;Graduated high school;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$75,000 or more;Male;Married;65 and Over;Grad Study;Professional/Managerial;More than ten years;No;Three;Three;Own;House;White;English
$30,000 to $39,999;Female;Married;35 thru 44;Graduated high school;Professional/Managerial;More than ten years;No;Four;Two;Own;House;White;English
$15,000 to $19,999;Female;Married;65 and Over;1 to 3 years of college;Retired;NA;No;Two;None;NA;Other;White;English
$20,000 to $24,999;Female;Divorced or separated;65 and Over;Graduated high school;Retired;NA;Not Married;One;None;NA;Apartment;Asian;English
$15,000 to $19,999;Female;Divorced or separated;55 thru 64;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;White;English
Less than $10,000;Female;Widowed;65 and Over;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;One;None;Own;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Three;None;Live with Parents/Family;Condominium;Hispanic;English
$30,000 to $39,999;Female;Married;25 thru 34;Graduated high school;Homemaker;More than ten years;No;Four;Two;Own;House;White;English
$25,000 to $29,999;Male;Single, never married;35 thru 44;1 to 3 years of college;Sales Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$40,000 to $49,999;Female;Widowed;45 thru 54;1 to 3 years of college;Retired;One to three years;Not Married;Two;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;One to three years;Not Married;Two;None;Own;House;White;English
$40,000 to $49,999;Male;Married;65 and Over;Grad Study;NA;More than ten years;No;Two;None;Own;House;White;English
$25,000 to $29,999;Female;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;No;Two;None;Own;NA;White;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;Seven to ten years;Not Married;NA;None;Rent;Condominium;White;English
$25,000 to $29,999;Male;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;No;Two;None;Own;House;White;English
$10,000 to $14,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$10,000 to $14,999;Female;Single, never married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;Three;One;Rent;Apartment;White;English
$20,000 to $24,999;Female;Widowed;65 and Over;College graduate;Retired;More than ten years;Not Married;One;One;Rent;Apartment;White;English
$50,000 to $74,999;Female;Married;55 thru 64;College graduate;Sales Worker;More than ten years;Yes;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;Grad Study;Homemaker;Seven to ten years;No;Five;Three;Own;House;White;Other
$20,000 to $24,999;Male;Married;65 and Over;College graduate;Retired;More than ten years;No;Two;None;Own;House;White;English
$25,000 to $29,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Four;None;Live with Parents/Family;House;White;English
$75,000 or more;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;Four to six years;Not Married;Three;One;Live with Parents/Family;House;White;English
$15,000 to $19,999;Female;Divorced or separated;65 and Over;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Rent;House;White;English
$50,000 to $74,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;Pacific Islander;English
$40,000 to $49,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;Four to six years;Not Married;Two;None;Rent;Condominium;White;English
$40,000 to $49,999;Male;Married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Yes;Three;One;Rent;Apartment;White;Other
$40,000 to $49,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Condominium;White;English
$50,000 to $74,999;Female;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Three;One;Live with Parents/Family;House;Asian;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$30,000 to $39,999;Female;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;Hispanic;English
$50,000 to $74,999;Male;Married;55 thru 64;Grad Study;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$15,000 to $19,999;Male;Married;65 and Over;Graduated high school;Retired;NA;No;NA;None;Own;House;White;English
$20,000 to $24,999;Male;Living together, not married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Four;None;Rent;House;White;English
$75,000 or more;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;More than ten years;No;Five;Three;Own;House;White;English
$30,000 to $39,999;Female;Married;45 thru 54;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Three;None;Own;House;White;English
$75,000 or more;Female;Married;55 thru 64;College graduate;Homemaker;More than ten years;No;Two;None;Own;NA;White;English
Less than $10,000;Female;Married;45 thru 54;Graduated high school;Professional/Managerial;More than ten years;No;Three;One;Own;House;White;English
$50,000 to $74,999;Male;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Two;None;Own;Condominium;White;English
$25,000 to $29,999;Male;Single, never married;18 thru 24;College graduate;Professional/Managerial;More than ten years;Not Married;Three;None;Rent;Apartment;Asian;English
$25,000 to $29,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Four;One;Own;Mobile Home;Hispanic;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;College graduate;Clerical/Service Worker;Four to six years;Not Married;One;None;Live with Parents/Family;House;White;English
$30,000 to $39,999;Female;Married;45 thru 54;Grades 9 to 11;Homemaker;More than ten years;No;Four;One;NA;Apartment;White;English
$30,000 to $39,999;Male;Married;35 thru 44;Grade 8 or less;Sales Worker;More than ten years;Yes;Three;One;Rent;Apartment;Hispanic;English
