ozone,vh,wind,humidity,temp,ibh,dpg,ibt,vis,doy
23,5740,3,47,53,885,-4,195,80,58
17,5740,3,56,53,360,3,195,40,59
7,5670,7,61,44,3497,73,97,40,60
2,5550,10,74,40,5000,73,45,80,61
3,5470,7,46,30,5000,44,-15,300,62
3,5320,11,45,25,5000,39,-25,200,63
4,5530,3,43,40,5000,-12,9,140,65
6,5600,3,21,45,5000,-2,39,140,66
7,5660,7,57,51,5000,30,56,140,67
7,5580,5,42,48,3608,24,41,100,68
6,5510,5,50,45,5000,38,5,140,69
3,5530,5,61,47,5000,56,20,200,70
2,5620,9,61,43,5000,66,13,120,71
8,5690,0,60,49,613,-27,154,300,72
12,5760,4,31,56,334,-9,180,300,73
12,5740,3,66,53,567,13,166,150,74
16,5780,5,53,61,488,-20,183,2,75
9,5790,2,42,63,531,-15,217,50,76
24,5760,3,60,70,508,7,192,70,77
13,5700,4,82,57,1571,68,135,17,78
8,5680,4,57,35,721,28,130,140,79
10,5720,5,21,52,505,-49,196,140,80
8,5720,5,19,59,377,-27,229,300,81
9,5730,4,32,67,442,-9,243,200,82
10,5710,5,77,57,902,54,158,250,83
14,5720,4,71,42,1381,4,135,60,85
9,5710,3,19,55,5000,-16,100,100,86
11,5600,6,45,40,5000,38,83,150,87
7,5630,4,44,39,1302,40,115,150,88
9,5690,7,70,57,1292,-5,120,200,89
12,5730,6,45,58,5000,-14,115,100,90
12,5710,3,46,62,472,34,172,300,91
8,5610,6,50,51,1404,42,125,120,92
9,5680,5,69,61,944,35,132,100,93
5,5620,6,67,34,5000,75,18,200,94
4,5420,7,69,35,5000,41,-6,200,95
4,5540,5,54,35,5000,62,8,200,96
9,5590,6,51,48,5000,44,56,300,97
13,5690,6,63,59,2014,31,119,300,98
5,5550,21,63,41,5000,56,29,250,99
10,5620,7,57,58,5000,27,87,120,100
10,5630,6,61,51,524,57,126,140,101
7,5580,7,78,46,5000,55,36,200,102
5,5560,4,65,40,5000,59,18,140,103
4,5440,5,44,35,5000,24,3,80,104
7,5480,7,51,46,2490,29,86,300,105
3,5620,5,73,39,5000,107,-4,100,106
4,5450,11,35,32,5000,36,8,300,107
7,5660,6,35,47,5000,28,41,200,108
11,5680,6,61,50,1144,30,120,120,109
15,5760,4,50,65,547,1,194,100,110
22,5790,4,57,66,413,10,209,120,111
17,5720,5,68,69,610,46,176,60,112
7,5660,6,58,59,3638,81,107,120,113
10,5710,5,65,64,3848,45,138,100,114
19,5780,7,78,68,1479,40,200,100,115
18,5750,7,73,49,1108,55,186,27,116
12,5700,5,41,52,869,0,145,40,117
6,5620,9,47,56,5000,43,35,140,118
9,5650,6,46,55,5000,49,33,150,119
19,5730,5,61,66,1148,31,160,100,120
21,5810,4,55,74,856,4,241,100,121
29,5790,4,60,76,807,16,228,120,122
16,5740,8,78,70,2040,46,175,150,123
11,5690,4,71,67,314,60,150,120,125
2,5680,6,77,41,5000,75,49,120,127
12,5650,8,66,61,1410,20,129,140,128
16,5730,6,74,68,360,23,169,120,129
22,5730,3,78,69,1568,32,198,70,130
20,5760,7,78,74,1184,40,204,80,131
27,5830,6,75,74,898,24,230,70,132
33,5880,3,80,80,436,0,302,40,133
25,5890,6,88,84,774,6,300,20,134
31,5850,4,76,78,1181,50,266,17,135
18,5820,6,63,80,1991,47,209,40,136
24,5800,7,78,76,1597,56,200,50,138
16,5740,3,74,74,1184,52,208,70,139
12,5710,7,63,66,3005,58,151,80,140
9,5720,8,62,66,2880,53,141,120,141
16,5740,5,53,69,2125,64,150,100,143
8,5690,9,62,62,3720,74,105,120,145
9,5730,5,71,67,4337,66,152,200,146
29,5780,3,68,80,2053,31,227,120,147
20,5790,7,79,76,1958,70,214,40,148
5,5750,3,76,65,3644,86,152,70,149
5,5680,6,71,65,1368,75,147,100,150
11,5720,3,66,63,3539,73,120,120,151
12,5770,4,81,62,2785,49,174,100,152
19,5800,4,72,68,984,26,207,120,153
17,5780,8,92,68,1804,56,200,70,154
19,5740,6,71,69,3234,77,171,80,155
16,5730,6,64,66,3441,67,161,100,156
14,5760,6,68,70,1578,61,160,100,157
10,5770,7,59,70,1850,76,160,120,158
9,5690,8,67,64,2962,80,152,120,159
7,5650,6,66,61,2670,54,130,120,160
5,5610,3,61,52,5000,76,56,150,161
2,5570,9,81,48,5000,57,49,140,162
12,5690,5,63,59,5000,46,107,140,163
22,5760,3,58,67,987,28,177,140,164
17,5810,5,68,66,1148,43,194,140,165
26,5830,4,71,74,898,-24,255,60,166
27,5880,6,67,83,777,-1,281,30,167
14,5860,3,64,78,1279,75,220,17,168
11,5830,6,64,75,1046,69,204,80,169
23,5870,4,69,84,1167,50,235,60,170
26,5860,3,77,81,987,45,243,100,171
21,5800,3,61,79,1144,57,218,120,172
15,5800,4,69,79,977,60,215,150,173
20,5770,5,64,65,770,26,242,120,174
15,5860,4,33,81,629,-11,302,140,175
18,5870,7,38,84,337,-14,321,140,176
26,5870,4,54,83,590,26,295,120,177
19,5860,6,39,90,400,19,285,120,178
13,5880,5,43,90,580,9,307,80,179
30,5870,7,55,93,646,25,318,140,180
26,5860,4,77,88,826,41,291,140,181
15,5830,5,63,72,823,52,236,150,182
16,5820,5,65,72,2116,47,213,120,183
16,5820,8,64,70,2972,52,180,120,184
19,5860,6,68,78,2752,41,211,140,185
23,5870,3,76,87,1377,37,258,100,186
28,5890,6,71,91,1486,33,266,50,187
34,5900,6,86,87,990,22,295,40,188
33,5890,5,65,91,508,29,296,100,189
24,5910,4,73,88,1204,56,266,100,191
17,5900,5,69,83,2414,63,247,60,192
10,5860,3,64,78,2385,67,213,50,193
14,5830,3,63,79,2326,64,218,70,194
13,5850,9,72,77,3389,56,204,80,195
17,5830,6,82,81,2818,58,221,80,196
22,5810,8,69,76,2394,54,209,90,198
19,5830,4,74,78,2746,61,208,120,199
20,5830,5,69,75,2493,55,225,120,200
25,5840,7,72,82,1528,42,233,100,201
28,5870,6,73,84,111,40,256,60,202
29,5870,4,90,86,1899,45,247,40,203
23,5860,3,80,80,1289,32,240,40,205
26,5900,3,73,80,984,35,260,70,206
14,5890,4,71,84,836,28,275,80,207
13,5880,4,78,84,826,27,263,80,208
26,5890,6,80,81,1105,39,234,80,209
22,5870,8,74,85,1023,46,251,80,210
14,5820,6,63,73,2956,46,196,120,213
13,5780,6,57,72,2988,56,187,150,214
9,5770,3,55,68,4291,60,168,200,215
12,5790,4,65,65,3330,59,148,150,216
14,5840,7,65,79,1233,30,214,100,222
24,5910,5,72,81,1069,28,235,80,224
19,5890,5,79,80,984,57,230,70,225
16,5870,6,62,76,1653,71,204,60,226
7,5780,7,65,59,3930,68,151,150,227
2,5730,5,77,55,5000,73,109,200,228
4,5780,7,70,66,5000,45,107,200,229
6,5750,7,58,64,4212,46,138,200,230
12,5760,5,58,62,5000,52,99,250,231
9,5730,7,72,67,5000,31,141,300,232
15,5730,5,77,74,1545,43,187,70,233
17,5790,4,57,74,994,44,209,300,234
13,5750,3,67,70,1125,55,200,150,235
20,5880,3,73,77,636,16,233,300,236
22,5890,7,70,83,748,32,250,30,237
24,5880,4,73,81,692,44,254,100,238
26,5870,7,73,73,807,39,260,100,239
32,5900,6,71,87,869,19,261,17,240
33,5920,4,77,89,800,24,298,20,241
27,5930,3,68,92,393,6,332,4,242
38,5950,5,62,92,557,0,326,70,243
23,5950,8,61,93,620,27,298,30,244
19,5900,5,71,93,1404,33,293,70,245
19,5890,8,77,86,898,21,270,60,246
15,5860,7,71,76,377,-2,285,40,247
28,5840,5,67,81,528,17,260,50,248
10,5800,6,74,78,2818,26,226,70,249
14,5760,7,65,73,3247,10,196,140,250
26,5810,6,82,80,895,0,256,100,251
17,5850,4,67,81,721,0,268,120,252
3,5760,7,87,52,5000,39,110,150,255
14,5860,4,71,63,1965,13,161,50,256
29,5830,5,77,72,1853,10,216,70,257
18,5840,5,78,75,2342,7,219,40,258
3,5800,7,72,55,5000,56,109,70,259
9,5790,3,71,61,4028,35,128,140,261
19,5830,5,71,71,2716,26,176,140,262
8,5810,5,76,71,3671,31,188,100,263
23,5780,6,76,72,3795,31,194,70,265
13,5800,6,73,75,3120,35,194,40,266
7,5800,5,80,65,2667,17,175,100,268
3,5780,9,73,61,5000,39,115,120,269
5,5790,8,80,60,5000,36,94,120,270
11,5770,5,75,64,308,25,204,140,271
12,5750,4,68,61,2982,18,155,120,272
5,5640,5,93,63,5000,30,115,70,273
4,5640,7,57,62,5000,25,107,150,274
5,5650,3,70,59,5000,38,87,200,275
4,5710,6,65,56,5000,35,88,200,276
10,5760,6,66,59,3070,13,156,200,277
17,5840,4,73,72,830,0,223,70,278
26,5880,3,77,71,711,-9,242,40,279
30,5890,5,80,75,1049,-10,261,50,280
18,5890,4,73,71,511,-39,288,17,281
12,5890,5,19,71,5000,-40,198,80,282
7,5890,6,19,73,5000,-34,208,250,283
15,5850,3,73,78,377,-3,260,200,284
12,5830,5,76,73,862,27,231,2,285
7,5830,8,77,71,337,-17,273,20,286
28,5860,5,86,73,492,-2,279,7,287
22,5830,5,76,71,1394,13,239,30,288
18,5800,7,66,66,3146,27,178,50,289
14,5830,4,74,69,2234,11,193,70,290
24,5790,5,71,69,2109,21,209,17,291
10,5730,4,84,64,5000,23,125,80,292
14,5780,5,74,65,2270,-7,205,50,293
9,5740,7,48,54,2191,-13,204,60,294
12,5710,8,75,62,3448,12,148,60,295
7,5690,6,74,56,5000,13,94,80,296
7,5670,4,67,55,5000,11,97,50,297
6,5760,4,75,58,2719,25,138,50,298
13,5820,5,71,48,1899,21,167,40,299
5,5790,3,35,54,5000,-41,114,40,300
3,5760,5,23,57,5000,-21,105,300,301
7,5800,6,19,60,5000,-19,124,200,302
8,5810,7,59,61,2385,10,158,150,303
10,5750,4,60,63,1938,0,170,100,304
12,5840,0,38,65,590,-11,211,100,305
6,5920,3,22,71,328,-40,270,150,308
5,5860,7,19,70,5000,-29,165,300,310
20,5840,0,45,68,597,-22,231,30,312
14,5810,2,47,69,469,-4,221,50,314
16,5770,2,73,59,1541,18,173,20,315
5,5710,4,67,49,5000,24,55,200,316
3,5500,9,56,39,5000,15,54,120,317
5,5660,3,54,50,5000,27,70,300,318
1,5700,3,71,46,5000,54,60,200,319
5,5810,5,59,54,5000,-28,120,70,320
4,5860,0,25,60,5000,-38,175,140,321
11,5900,0,24,62,5000,-36,156,150,322
6,5850,5,41,65,2014,-20,211,200,323
8,5780,3,50,66,436,1,213,4,324
14,5790,0,76,66,830,3,189,40,325
18,5780,2,82,63,1112,-8,191,30,326
12,5770,2,81,62,1210,-17,199,30,327
9,5750,2,85,60,501,-22,216,2,328
7,5780,5,76,63,875,-15,205,0,329
14,5790,5,66,60,1601,7,167,30,330
4,5750,6,58,58,5000,59,55,60,331
3,5670,8,19,34,5000,-63,28,150,332
3,5760,0,19,36,5000,-52,50,100,333
3,5770,4,19,44,2280,-54,132,250,334
3,5810,2,19,53,2047,-43,175,150,335
3,5810,2,19,52,5000,-69,136,200,336
3,5870,3,19,53,3720,-50,163,200,337
3,5830,2,27,58,311,-24,211,200,338
6,5760,0,64,55,2536,28,136,80,339
6,5680,0,52,50,1154,-22,164,60,340
5,5780,4,19,48,2933,-40,155,300,341
3,5810,3,19,51,3064,-33,171,200,342
4,5760,0,32,62,826,-16,182,300,343
7,5680,0,58,40,5000,2,61,50,344
5,5750,0,26,44,111,-52,201,40,345
5,5790,5,19,49,5000,-48,126,70,346
4,5770,3,19,53,5000,-37,131,150,347
3,5750,0,19,53,5000,-26,106,150,348
2,5720,0,19,53,5000,-31,108,70,349
5,5760,3,19,55,948,-48,215,200,350
3,5780,0,19,51,5000,-50,105,120,351
4,5660,4,19,54,5000,-22,92,150,352
4,5610,2,58,48,3687,-10,83,150,353
6,5640,0,51,53,5000,0,68,60,354
6,5680,3,52,49,5000,-19,76,70,355
3,5650,5,19,48,5000,-28,74,150,356
4,5710,4,19,51,5000,-25,91,300,357
3,5680,4,57,47,508,-10,148,100,358
8,5630,4,50,50,2851,-5,100,70,359
2,5730,3,53,51,111,-14,225,200,362
3,5690,3,23,51,5000,-36,107,70,363
5,5650,3,61,50,3704,18,83,40,364
1,5550,4,85,39,5000,8,44,100,365
