x1,x2,y
 2.576843426, -1.435682132, 0
 1.816825183, -1.161742789, 0
 2.892025340,  1.625783044, 0
 0.916822986, -0.481920759, 0
-0.074079101,  0.919702238, 0
 0.574290652, -0.454657409, 0
-0.589045843,  0.207323551, 0
 2.624577968, -1.406259450, 0
 0.066332192,  1.580805445, 0
 1.642844649, -0.283878559, 0
 2.551446154,  1.418180412, 0
 1.419537021, -0.029746130, 0
-0.715283835,  1.107883553, 0
 0.434501300, -0.064545302, 0
 2.343730594,  0.910978474, 0
 2.262714148,  0.693601574, 0
 0.953833479,  0.326034294, 0
 1.297167310, -1.113541170, 0
 1.870899745,  0.654564443, 1
 3.637863023,  1.039167443, 1
 3.529264199,  0.959990564, 1
-0.200683161,  2.281585046, 1
 1.076956974, -0.330735232, 1
-0.400761723,  0.585843888, 1
-0.368775793,  1.038922700, 1
 1.613212710,  1.860080951, 1
 1.301202425,  0.725799603, 1
 1.238769995,  1.052235708, 1
 1.486004801,  1.714859663, 1
 1.098734773,  0.961948009, 1
 0.692220033,  2.255267507, 1
 1.079757235,  0.742267953, 1
-2.073318733,  1.735423774, 1
-2.017570738,  2.720376775, 1
 1.351103591,  0.649705578, 1
 0.528698093,  1.647575574, 1
 1.741742104,  1.357381623, 1
 0.752532941,  0.809050152, 1
-0.152822409,  2.433115748, 1
-1.264860817,  1.384068805, 1
 1.334410988, -0.294440957, 1
 1.224054162,  0.470747125, 1
-1.464690853,  2.473922169, 1
 1.623801765,  0.240936940, 1
-2.169201473,  2.075904398, 1
 0.488746502,  2.142041681, 1
-1.136539074,  2.052686203, 1
-2.303862762,  2.207488935, 1
-0.019593015,  1.805299380, 1
-1.529105572,  2.664528311, 1
-0.071295170,  1.460543433, 1
 0.880230865,  1.242869428, 1
 0.013973130,  1.283185943, 1
 0.433582885,  1.261365481, 1
 1.269316909,  1.633062578, 1
 1.432136010,  0.306475077, 1
-0.167523862,  2.775192471, 1
-0.071974368,  1.427912819, 1
-0.311647982,  2.041098516, 1
 2.228716379,  0.936223312, 1
-1.776926087,  2.108804862, 1
 1.047457586,  1.039996187, 1
-0.804293855,  1.135668449, 1
 1.058348565,  1.489829603, 1
 0.061145537,  0.801422708, 1
 0.125021393,  1.165593851, 1
-2.477417617,  1.026506205, 1
 1.442442554,  1.545476693, 1
 1.028464289,  1.550985579, 1
-0.582356684,  1.718885398, 1
-1.960779713,  2.002274242, 1
 2.887947028,  0.020693004, 1
 1.391351682,  0.813721723, 1
-1.796286610,  0.771731486, 1
 3.166971551,  0.556946627, 1
-0.487292651,  0.979110495, 1
 0.508118067,  1.757231990, 1
 1.591324822,  0.215211634, 1
 1.385771564,  1.201221704, 1
 0.566817311, -0.166103051, 1
-0.370309590,  2.855804967, 1
 1.926571814,  0.150864353, 1
-0.570429501,  1.090314031, 1
 3.503126460,  1.223981852, 1
 1.510827689,  2.477865286, 1
-0.369493348,  1.384600180, 1
 1.522310375,  0.186156137, 1
 0.056184431,  2.519258089, 1
 0.571872338,  1.577942178, 1
 0.005244683,  2.125607235, 1
 1.126644806,  0.665912397, 1
 1.945429440,  0.481080499, 1
 1.244438442,  0.852322687, 1
-0.414441664,  1.058147178, 1
-0.257136280,  1.085183909, 1
 1.287421847,  0.272584762, 1
 1.436278077,  1.174771281, 1
-1.256441709,  2.181549767, 1
 1.270289602,  1.704139810, 1
 0.258880758,  1.170055270, 1
 1.518293955,  0.361734172, 1
 0.840697451,  1.565475021, 1
-0.264756676,  1.491832426, 1
-0.668445480,  1.103914441, 1
 1.486247706,  0.918180475, 1
 0.259433566,  1.250357925, 1
 3.560612983,  1.398988842, 1
-1.162763070,  1.250970789, 1
-1.021784128,  2.421916511, 1
-1.169258605,  0.812967619, 1
 0.205456121,  2.688557551, 1
-2.520819677,  2.015033249, 1
 0.455341779,  0.404037972, 1
 0.256750222,  2.293604575, 1
 1.925173384,  0.165052639, 1
 1.301941035,  0.992199616, 1
 0.008130556,  2.242263910, 1
-0.196246334,  0.551403559, 1

